  2.5      3.0       3.5     4.0      4.5      5.0       5.5      6.0
459.1329 461.0169 471.5942 467.4396 466.5243 465.0179 461.0009 457.2482
454.9219 465.3716 463.9891 468.1951 469.8181 469.1374 475.3919 466.4757
464.5135 462.1785 469.9674 472.9025 468.7917 476.7015 476.6114 475.6849
462.0100 467.5957 475.7023 466.4974 473.6685 462.4705 472.3265 476.8581
468.7803 463.6327 473.3773 468.0191 467.9336 465.9678 466.9630 474.1484
461.3478 463.7114 469.9981 468.1450 467.3065 468.7946 472.6637 470.7240
462.5773 462.6155 467.0146 469.9768 469.6939 480.2115 480.4250 462.2315
459.8252 466.9110 477.3505 469.9746 471.9554 473.2329 467.8993 467.5403
463.4492 460.3664 472.0096 474.9754 461.5201 473.0725 482.2147 467.4376
457.3998 478.4464 468.3175 465.9254 463.1651 463.6548 476.7047 472.1627
450.2602 469.0491 477.0690 468.4399 468.8554 480.5352 467.5819 463.3181
451.7302 466.9060 473.4871 475.4009 466.6130 473.7603 473.8383 458.2994
450.6202 466.0380 471.9223 468.1976 467.4191 467.7313 480.1570 465.7577
460.5432 464.3270 465.7798 468.0886 467.7284 472.4179 471.6571 477.4825
462.4080 465.2487 477.1845 465.5514 472.4184 478.5167 462.5406 477.4613
462.6832 457.8486 467.8515 467.3739 474.2956 471.0273 476.5331 467.8907
459.4317 462.8598 471.1802 477.7015 472.2872 471.2475 478.4364 466.9988
452.2005 466.7385 477.1889 475.3246 467.9221 471.8710 465.1115 477.2747
464.3857 464.8814 465.4187 471.1505 467.8370 474.1464 464.2341 464.3636
456.0189 475.0547 463.5122 468.7566 464.6786 471.1004 474.4751 462.2942
469.5801 473.1864 470.5921 475.9027 462.0243 471.7242 479.4427 471.1447
458.5772 465.9983 470.3401 480.5968 470.7868 470.0957 486.3882 466.9585
460.8372 465.9271 469.4338 465.6008 460.1137 470.5036 471.2109 472.3338
466.8818 467.4660 467.9645 459.6450 466.8667 465.1608 464.3205 472.9656
451.3345 463.0190 459.8674 471.9102 466.3222 463.9766 476.0985 478.9496
464.3621 467.6338 471.3971 471.2853 460.8385 460.2065 468.8169 475.8830
459.0842 459.8776 470.3972 467.6996 466.2477 472.9348 475.1541 474.2183
464.4526 463.4802 471.5087 462.3578 466.1975 457.2793 469.0237 479.5996
463.7182 467.4064 470.1553 475.4815 459.5252 466.3087 476.2794 473.1325
453.8258 471.8471 471.4808 476.1823 471.9924 474.8085 467.0165 480.5605
458.4310 460.4846 473.1022 474.5621 467.6871 468.3721 474.3714 475.8412
462.7485 470.6548 467.5369 463.7786 467.0523 466.8241 482.4510 473.2245
457.8697 475.4965 476.2813 465.8452 466.6681 473.2548 471.6035 466.3241
457.5097 469.5322 466.4257 475.5459 462.0282 461.6414 470.3062 471.7000
461.7177 468.7325 459.8357 473.0736 458.1982 468.2653 475.3378 469.0606
457.2494 469.0240 468.9592 475.6181 469.4036 467.0559 471.0518 470.1064
459.6486 464.0323 466.8981 473.1202 463.0554 460.3307 473.5123 462.7994
459.6474 466.5427 465.8123 472.3035 467.3683 470.1889 476.8823 476.5543
459.9446 463.4773 458.2806 476.2278 463.4164 465.6666 466.1815 473.5312
460.8394 466.1157 476.6179 473.3050 471.7862 473.9218 464.2423 469.7067
463.6641 474.7319 475.0295 466.0250 472.4570 470.0158 473.2867 473.7222
453.0069 467.7361 463.7770 465.6452 460.1092 467.8329 473.8609 476.7606
455.6718 467.3128 473.4267 470.3828 465.3022 469.1792 468.6295 479.2131
454.6332 470.5766 477.1339 475.8263 462.1594 484.2915 466.2857 466.6209
453.6970 469.3012 473.3482 471.3306 463.7140 472.3170 473.2191 473.1396
455.6210 465.1475 469.6424 472.1684 468.4375 472.1531 474.1425 483.8915
459.6644 474.6764 465.5760 470.5868 467.9341 475.1467 479.3628 476.8220
459.4191 466.1899 475.0972 471.8025 459.2488 471.5108 474.0677 470.6613
458.1284 467.4247 469.1880 474.0194 469.1285 475.7564 471.6717 474.4148
457.3337 468.5673 470.7477 470.2691 467.0229 467.7935 472.7154 473.9502
451.7459 468.4914 468.8317 463.8417 468.3297 468.4998 475.5037 474.3621
454.2657 472.7545 472.8256 469.3472 472.7494 462.1207 467.4843 473.4846
460.7198 461.7881 466.0105 472.1548 465.6880 466.5505 473.8729 470.0239
459.9912 467.7421 470.5313 473.0998 457.0815 476.2947 468.8021 469.8854
454.4433 471.2596 468.8528 467.4621 461.6249 472.0530 463.6661 477.5059
460.9525 465.0825 467.3275 472.3939 464.4004 468.7635 473.9273 480.6042
463.0859 467.5440 459.8954 476.3578 474.0579 469.5232 472.7217 469.0584
463.1692 473.2716 467.1598 472.7891 459.0936 480.4070 475.8346 465.3508
452.6167 473.1152 488.3855 468.1314 462.7692 474.3396 467.6586 469.4465
461.1460 472.2056 470.7266 475.1981 477.3301 467.7619 463.1691 466.4054
463.0075 466.0361 465.3860 478.8235 477.5958 469.8920 472.6955 471.9887
465.5504 471.4417 467.2640 476.1042 469.7794 475.6760 465.8626 481.3070
458.8720 471.2885 471.6618 465.9264 463.9613 477.2683 470.4946 475.9337
456.3249 470.2466 471.9528 466.6300 468.3605 469.9932 469.9397 473.8728
456.8788 475.3572 473.3007 463.5995 463.1258 467.4927 476.2280 460.4224
455.5804 464.7615 476.6915 463.5679 472.0496 472.9397 478.4479 470.5030
460.4738 468.4874 479.2776 471.2882 457.7867 471.5563 469.6771 486.4255
